series_key,reason,annotation_count
1db5f56e5bacb771e7542a20ee5906cf8379d57ed8e33ec2ebca3eaab440ad51,CLUSTER_MORE_THAN_4_READERS,
3a048b6cf0bee54031498ba1090d47e6461f19c15d149e07fb2fd912060cf6fa,CLUSTER_MORE_THAN_4_READERS,
5ac3dc67622c6681b56de477a2989d9ab2a5feaecee754134b4be3fcc1a739ba,CLUSTER_MORE_THAN_4_READERS,
70514de16935167884a1532c153833a3aba11c1e15fc7b43e3eedaebb69665a3,CLUSTER_MORE_THAN_4_READERS,
7dba63584070ded294e7066b44f0ff96c8ec80f4eae57b62363d9a1ded0b0235,CLUSTER_MORE_THAN_4_READERS,
9eaf0535e1310b1177a7eb15dfb04bbe4fccd093f7bf4c344bb5f892ea3cf22b,CLUSTER_MORE_THAN_4_READERS,
a7d980d3b74f74064be6c6eda0a55c122a9628cba9cd9f5a3eb5ab7f4cf466e9,CLUSTER_MORE_THAN_4_READERS,
a9f793f036ecf3d9ca2f94245da925d2a10c1aef8b801d75926c2bd29e8de8a8,CLUSTER_MORE_THAN_4_READERS,
cacaf2185b18ee4d20e6bf336b7acffd1c90a2423faf018d7bb554451fd6c7e0,CLUSTER_MORE_THAN_4_READERS,
d8d5931a5860eb9f9665f17304afbf4685df3450da7ab39d6256147d575b14a3,CLUSTER_MORE_THAN_4_READERS,
de3bb41b3623eecc2948634de8c76e0d4abb30341fdc6c5a9fa88c335031b8d4,CLUSTER_MORE_THAN_4_READERS,
eaa19370120ad03980c481ca36f7a3cad405ab430df2efa384d2aa0d114bc289,CLUSTER_MORE_THAN_4_READERS,
f419258f435a4f9b07fb5f9aadf95c0dce334541608362362480026ede5c5b8f,CLUSTER_MORE_THAN_4_READERS,
f57f578fd3623a4978f19fcad3b27baa0eece97aa531c6a1b4199bf0955d6003,CLUSTER_MORE_THAN_4_READERS,
5c86bddcbd4d4a93b6fbc540a18f2f5d35d5ca015b5683ad8ce223c3d64b18e7,MISSING_REQUIRED_TARGET:internalStructure,1
02b556d221dfcd678936f9e12bed22d3a9b17905021620f6093149f420d6f99d,P1_EXCLUDED_DIFFERENT_DUPLICATE_PLANE,
cc2f1f6389084459fc15040649fdd47da2c50b2ce9d41d7d08185090bf9f8e65,P1_EXCLUDED_DIFFERENT_DUPLICATE_PLANE,
ee8fcb4cf275c52e977f153e2d907f25918d3a6cd772c707298acae90132cf5e,P1_EXCLUDED_DIFFERENT_DUPLICATE_PLANE,
fed15fa97f94e5b59a8c59cb046ef7d710ca23826a1a70173d118ea69317c91e,P1_EXCLUDED_DIFFERENT_DUPLICATE_PLANE,
017eb33c33caf4742adf92153102a4c5b8c0463face429c4f4a77bf7c380eefc,SOURCE_ANNOTATION_NOT_IN_PYLIDC,27
0199c394b7a33fb1be265d273ebc9c8fd6688e1db54686567ef6abc1b14e19b3,SOURCE_ANNOTATION_NOT_IN_PYLIDC,3
01d561292690b498d7fb133ae14687149c291b55861410a41b14204f059c9883,SOURCE_ANNOTATION_NOT_IN_PYLIDC,4
02016d62c5db33aa01d6ef0ab62fe3faa6be63b76b8cbc7dcf5a09879e01ee29,SOURCE_ANNOTATION_NOT_IN_PYLIDC,2
020e8f9b918a105913eb9b549a0e8b68ac7471c35d243df7277173c64c3087c4,SOURCE_ANNOTATION_NOT_IN_PYLIDC,13
02a025d554e53836950cf5a522e7fbfedfacee23014054313fe5c11c1ab2bdf7,SOURCE_ANNOTATION_NOT_IN_PYLIDC,15
031081d52ca7306323ba0872aefae436807d4ccc46d9c2779ecb344018739178,SOURCE_ANNOTATION_NOT_IN_PYLIDC,13
0330f07e444da389254833933a2dd6a0a52e0eff606f53cc0e1e85f3f419c2dc,SOURCE_ANNOTATION_NOT_IN_PYLIDC,3
033c8760774d87743d4d068168537534a5f838e6104858c79cb4cff29b9e5b6d,SOURCE_ANNOTATION_NOT_IN_PYLIDC,28
0398bc4fb7182320462245509d9b1187bbde2cb40bb920eb978449d6200ee0c7,SOURCE_ANNOTATION_NOT_IN_PYLIDC,7
03b685fbe061615728497ffd0345cc3b7bf8f174c550f7711c8f8a61742f43ce,SOURCE_ANNOTATION_NOT_IN_PYLIDC,27
03fdaad957e08d805b95ebee91b95a5bb8e0d79cb8de694de9addc1e84cf2813,SOURCE_ANNOTATION_NOT_IN_PYLIDC,1
04629b540921264f2d2ff80b195c89bb92b4ce718f853dca41a7887c85417316,SOURCE_ANNOTATION_NOT_IN_PYLIDC,65
04731ea8a334e936b770ba2972ae167a891f2537d580e932420bcff294291e79,SOURCE_ANNOTATION_NOT_IN_PYLIDC,2
0478685619232f133643a01fefb413a4477c70129067af3f010f36b3318eed73,SOURCE_ANNOTATION_NOT_IN_PYLIDC,36
049738ae6b10de92b7207fe355ed92001a863a12f689e6cd6679911792b5fcb6,SOURCE_ANNOTATION_NOT_IN_PYLIDC,6
0533f1953981acdcbcde64e86def34c2db4e16842effea9e6cc741fd895b4fe6,SOURCE_ANNOTATION_NOT_IN_PYLIDC,3
056b07fc8ef299b59e835a60ceb3d82b1a8a94aa6542f25c260c8d9a6a7e6801,SOURCE_ANNOTATION_NOT_IN_PYLIDC,4
057a08126fa6cea8900ecaf455d6aa65244c7f9d1644706ac4ae2981dc4133ec,SOURCE_ANNOTATION_NOT_IN_PYLIDC,3
0584ec31053b87de72058ea7d6c39d80065487253a4b93faa67dd4b559c52b98,SOURCE_ANNOTATION_NOT_IN_PYLIDC,30
05a51c04892a0dcbf04a03d1b1a9dc69214c5a332493b0cc66fb50c2abbaa29d,SOURCE_ANNOTATION_NOT_IN_PYLIDC,38
05a988c6d511e522673081cd226164c334357de57af0703609fdf582c2eb797a,SOURCE_ANNOTATION_NOT_IN_PYLIDC,8
06097d88ce364b2df493c63259d2980d8b0b738e134f4385e68525b891f61392,SOURCE_ANNOTATION_NOT_IN_PYLIDC,10
071b3d30cbc570b4e4cda2bf1e7fcf6df24b922ce05a3a4908b29a07e9537fb0,SOURCE_ANNOTATION_NOT_IN_PYLIDC,37
0738e20097845562d7c87bf1978bda5183378140f7739e9a1271d9a2d9055b40,SOURCE_ANNOTATION_NOT_IN_PYLIDC,22
077831a6b5bf987ca4ae74633747d5fa89f15417f3301c94df9b29e17ab25cae,SOURCE_ANNOTATION_NOT_IN_PYLIDC,3
077dce28c02d3898f268eb5c89b7dcea2360a4335dfa7bcb76dd07239d826fc5,SOURCE_ANNOTATION_NOT_IN_PYLIDC,9
07e11b47eda992247fdd92700dbca5b357431a51b00c9132f189fc13d75c83c5,SOURCE_ANNOTATION_NOT_IN_PYLIDC,45
083c639702c65d0500a52e7074c5f6f335edd9a3d131f859d6d9c63e2f3e2be4,SOURCE_ANNOTATION_NOT_IN_PYLIDC,2
087795a96d2529cddc109a5e638ee3feac5b41dfc145403798b391fedd72aec1,SOURCE_ANNOTATION_NOT_IN_PYLIDC,1
0879e6d9d4672560959fc60ca3cea8a9e97e72a5b3bec8137aa49a647ac6d224,SOURCE_ANNOTATION_NOT_IN_PYLIDC,14
08de7fd133f99c98600793f9dd334d7c5b091eed15ca570f158ecb69761b595e,SOURCE_ANNOTATION_NOT_IN_PYLIDC,2
08e274ed31740dc28ebb02f785e20fb4c84bc4dbd5960ad01951f2bc2a7cadc8,SOURCE_ANNOTATION_NOT_IN_PYLIDC,11
09ee7e32350523ef7f471ee00712c49673352df76cc412317ea215316294478f,SOURCE_ANNOTATION_NOT_IN_PYLIDC,4
0a00e239cf964cc9791ab18b9034d930a563c5e809e537bf8c563f353bb0f1c9,SOURCE_ANNOTATION_NOT_IN_PYLIDC,18
0a3309c6120b87ecb65fcb29d577348e01f99125d868d58466a978e275abf2cd,SOURCE_ANNOTATION_NOT_IN_PYLIDC,2
0a72ac1f5368fcfb5a65c8436ce9d2ce0bc99b63e719292f7ec681938689471d,SOURCE_ANNOTATION_NOT_IN_PYLIDC,10
0afdfd089b89757f95c97b76a7f3d603f22feee941e6ea142f8eb9e066734be9,SOURCE_ANNOTATION_NOT_IN_PYLIDC,6
0b3b846a0c5cb7e17845de7156cbc45e49270e98e75ee08d83e1f906f61b7a05,SOURCE_ANNOTATION_NOT_IN_PYLIDC,1
0c0a48dbf8916dd54d30133d5f54f3b86cabd8439a9694a950dfb3c41723118e,SOURCE_ANNOTATION_NOT_IN_PYLIDC,1
0c424257ebf683e22076b48582679cb489bc38f9db05a492dc5811192892f6bd,SOURCE_ANNOTATION_NOT_IN_PYLIDC,11
0c542f659692973ead5f721059975492c6993d0e5b2faa1524f538bab8463e81,SOURCE_ANNOTATION_NOT_IN_PYLIDC,2
0c767b0c8c8f40f08354f1124ae8ced845bc6bc8a1280a4eb5bf960995f5d240,SOURCE_ANNOTATION_NOT_IN_PYLIDC,4
0c984c760fd7c714a86277173170f67987b67be07ee9358a4a59373718ff0148,SOURCE_ANNOTATION_NOT_IN_PYLIDC,14
0cdfe14daf777d63a414da6dec83245f25a5e4cdb6bb051f1b152638abd236d7,SOURCE_ANNOTATION_NOT_IN_PYLIDC,10
0ceab3ee1a1033285b63c9a7d32156b1d9e31fdd36880b996cf394ef440e1bf5,SOURCE_ANNOTATION_NOT_IN_PYLIDC,7
0d272208118eb1acb3f351601f0815558860e5a7b63aa894fa4e7dd5a8df630c,SOURCE_ANNOTATION_NOT_IN_PYLIDC,2
0d617e1c6ad2694577f4b3fb98e8b30c604d7b64a31dc4ae3df17cb218feb872,SOURCE_ANNOTATION_NOT_IN_PYLIDC,1
0d8310d2895c3b52a676c8c7c1367684aa7144e3b12d34b769764efd668a8014,SOURCE_ANNOTATION_NOT_IN_PYLIDC,3
0dc3fbf341804f99ae91f18f124b9dfcebf4bdcb06e10fe514e2fd4abf5ff25b,SOURCE_ANNOTATION_NOT_IN_PYLIDC,10
0e3eb0a90c137d1d3632209fbd600c6bd63aa783d23081359b24dedab52ebffa,SOURCE_ANNOTATION_NOT_IN_PYLIDC,9
0e5d3dfd5be1114a60bc10f8b3d06052b59248f4f8212077607e98bff0b97751,SOURCE_ANNOTATION_NOT_IN_PYLIDC,2
0ef41a8f8d5f495d51d41cc88b160d32ee66adc894de01b010499db96869c93f,SOURCE_ANNOTATION_NOT_IN_PYLIDC,5
0f7f8c991ea414084a4d67dbf2ba940d22dc60256d078e4ca90943ec207a21b0,SOURCE_ANNOTATION_NOT_IN_PYLIDC,130
0fa2400dd15f109e5354cfd32304e294ea660b79d518963382c4f58504af9a81,SOURCE_ANNOTATION_NOT_IN_PYLIDC,22
0fd94d661b6d3cde304fb37ca2134cb2366d48a64918c059df172d29b830685b,SOURCE_ANNOTATION_NOT_IN_PYLIDC,19
1036eab32d673aa4e465bb2aa97fcb99e08a6e4b31ce0cb02454a11819378610,SOURCE_ANNOTATION_NOT_IN_PYLIDC,1
11fa486e75356d924fa39b1e2f044ca407b2b36072e5e066a640d4c439bfe932,SOURCE_ANNOTATION_NOT_IN_PYLIDC,2
1200e886e747ee7071b9bd37bce10d9830f90ec2921d80f54d9965f832fb438c,SOURCE_ANNOTATION_NOT_IN_PYLIDC,11
125f9d4abf69f6f0f39607d4b453fef104ad94308e7b47100c4b30dc86fc496c,SOURCE_ANNOTATION_NOT_IN_PYLIDC,1
12674c901ce5d1986a1b295391f48327fd7ca2bd03ec5e5eb73574dd66026bd3,SOURCE_ANNOTATION_NOT_IN_PYLIDC,98
128fbae1955d44c5dd2223a990fd9f1edfcc100945de3d90af2dde339db882cd,SOURCE_ANNOTATION_NOT_IN_PYLIDC,8
132cfeb0b705a2634327f9903de24ce047a5dc5be2bb3c9abfffeabc34772e5c,SOURCE_ANNOTATION_NOT_IN_PYLIDC,64
1333130b82059d4ae41eb2d68fb9bf081883e133d3f5f09dba717f20929c89af,SOURCE_ANNOTATION_NOT_IN_PYLIDC,13
1393597c32770adbe560dad47b3d91b33bd55b715d91e29531eb4de2a6ce7c82,SOURCE_ANNOTATION_NOT_IN_PYLIDC,2
13c447687aadbff9013b724cd24dd3c7410b5277d37342f12011d05d3e27284a,SOURCE_ANNOTATION_NOT_IN_PYLIDC,8
14cb0f0779358eabfb65a689cf88069764c85dad6c02016517d60cd0381dcdb5,SOURCE_ANNOTATION_NOT_IN_PYLIDC,38
15af231e00be25afc90eb50f3b2ec2495e6e308d5593565ce57177a7644daa3d,SOURCE_ANNOTATION_NOT_IN_PYLIDC,3
